RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,93,343,18,162.0,15,0,0,100.0,-7,7,8,14,0,13.0,-8,0,0,1.0,-8.0,2,2,0,33.0
Bad,60,184,4,69.0,35,2,2,100.0,-7,6,8,35,6,26.0,-7,5,5,66.0,42.0,12,4,10,70.0
Good,64,345,3,109.0,31,2,1,92.0,59,6,2,36,3,42.0,0,3,3,51.0,78.0,6,1,3,64.0
Good,77,200,6,82.0,26,0,0,100.0,-7,7,8,26,1,38.0,14,0,0,40.0,82.0,4,3,1,78.0
Bad,63,191,23,68.0,12,1,1,92.0,4,0,6,8,0,58.0,4,1,1,4.0,40.0,1,3,0,67.0
Good,79,242,21,99.0,33,0,0,100.0,-7,7,8,35,0,34.0,14,0,0,33.0,-8.0,8,2,2,53.0
Good,76,222,2,80.0,34,0,0,97.0,30,6,6,36,3,22.0,0,4,4,6.0,62.0,6,5,0,55.0
Good,84,352,25,154.0,14,0,0,100.0,-7,7,8,15,0,36.0,-8,0,0,13.0,-8.0,2,1,1,50.0
Good,76,97,9,44.0,14,0,0,100.0,-7,7,8,14,2,21.0,0,1,1,32.0,43.0,3,2,0,63.0
Bad,57,47,4,21.0,5,0,0,80.0,32,6,6,5,1,60.0,-7,3,3,97.0,84.0,2,3,1,100.0
Bad,70,267,10,121.0,15,0,0,94.0,52,6,6,16,2,56.0,0,4,4,77.0,-8.0,4,1,3,83.0
Good,69,187,5,53.0,24,0,0,100.0,-7,7,8,24,4,33.0,14,0,0,51.0,98.0,6,3,3,60.0
Bad,68,213,1,96.0,31,0,0,100.0,-7,7,8,33,2,18.0,1,3,3,81.0,76.0,15,2,7,95.0
Good,68,222,2,93.0,32,0,0,97.0,16,6,6,37,1,35.0,0,2,2,62.0,-8.0,5,1,2,60.0
Good,72,519,20,164.0,23,0,0,100.0,-7,7,8,35,0,22.0,1,1,1,50.0,58.0,7,2,3,67.0
Bad,54,140,18,61.0,7,6,5,50.0,5,4,5,13,0,63.0,0,0,0,96.0,73.0,3,2,1,100.0
Good,64,150,2,50.0,32,1,1,94.0,26,0,2,34,3,32.0,2,2,2,55.0,84.0,7,3,3,79.0
Good,68,348,12,91.0,34,0,0,100.0,-7,7,8,34,0,32.0,0,0,0,78.0,68.0,11,4,7,76.0
Bad,71,175,8,46.0,14,0,0,93.0,25,6,6,14,1,57.0,0,1,1,76.0,-8.0,2,2,0,80.0
Good,70,117,7,68.0,22,0,0,100.0,-7,7,8,26,1,23.0,0,8,8,90.0,-8.0,7,1,4,80.0
Bad,70,83,3,40.0,26,4,2,80.0,10,4,4,30,3,33.0,-7,0,0,3.0,89.0,2,4,0,58.0
Bad,83,284,34,93.0,9,0,0,100.0,-7,7,8,22,0,33.0,7,0,0,0.0,50.0,0,1,0,25.0
Good,80,330,7,45.0,19,0,0,100.0,-7,7,8,28,2,32.0,10,1,1,1.0,-8.0,1,2,0,50.0
Bad,71,218,22,75.0,22,1,0,96.0,27,6,5,24,0,39.0,1,2,2,3.0,23.0,4,1,1,56.0
Good,67,232,11,91.0,28,0,0,96.0,40,6,6,28,1,21.0,0,4,4,39.0,90.0,7,3,3,67.0
Good,67,284,5,84.0,44,0,0,100.0,-7,7,8,45,1,27.0,2,1,1,48.0,50.0,11,3,4,70.0
